arm,seed,stream_ppl,floor_frac,forgetting_ppl,forgetting_ppl_med,n_route_flip,tau_m,soft_tau_r,runtime_s
Single-topk,0,7.027171972921536,0.0,8.031876433708527,8.78624132733153,0,500.0,nan,12.59376072883606
Single-topk,1,6.697460716376093,0.0,7.873640222844666,8.414678706762203,0,500.0,nan,13.994992733001709
Single-topk,2,7.065744747131393,0.0,9.930753405469762,11.201701179690552,0,500.0,nan,16.74266266822815
Single-topk,3,7.070544084507493,0.0,7.778197996866552,7.722785750543266,0,500.0,nan,18.604191303253174
Single-topk,4,6.939523544998787,0.0,8.906029088930723,10.592534325152759,0,500.0,nan,19.508662939071655
Single-topk,5,7.015801911697075,0.0,8.824873637748325,10.09148060860742,0,500.0,nan,16.743860960006714
Single-topk,6,7.425087001684912,0.0,9.753984391600044,10.950619542942718,0,500.0,nan,14.696328401565552
Single-topk,7,6.990706099899891,0.0,9.788246832282654,10.992916644501229,0,500.0,nan,18.482667207717896
Single-topk,8,7.1183989717830265,0.0,11.284658518033734,13.685475313877008,0,500.0,nan,14.698479413986206
Single-topk,9,6.976118862973836,0.0,9.833783109758539,11.70087956768831,0,500.0,nan,16.61596179008484
Hard-topk,0,6.805601805886769,0.0,6.072337569590782,6.320000560769862,5,500.0,nan,20.09671640396118
Hard-topk,1,6.780823128851835,0.0,6.730484355044512,6.991034379753619,5,500.0,nan,15.738959312438965
Hard-topk,2,7.156746229842165,0.0,7.141439050417018,6.846787797546948,5,500.0,nan,20.713837146759033
Hard-topk,3,7.176708465355373,0.0,6.467693843333445,6.056522775442195,5,500.0,nan,11.949848175048828
Hard-topk,4,7.0749441301592615,0.0,7.095123805874674,7.5029460453550465,5,500.0,nan,11.412541627883911
Hard-topk,5,7.201800328090552,0.0,6.310365126829449,6.190374782944603,7,500.0,nan,11.671576499938965
Hard-topk,6,7.685210990253316,0.0,7.390081818986573,7.651254387177355,7,500.0,nan,11.202001571655273
Hard-topk,7,7.106467869058633,0.0,7.3440438338169844,7.122717793073834,5,500.0,nan,11.446019411087036
Hard-topk,8,7.2049459912905816,0.0,8.160917893392321,8.332043646003697,5,500.0,nan,11.854159593582153
Hard-topk,9,6.913576765534271,0.0,6.681917513313373,6.830881204066969,5,500.0,nan,11.16598892211914
Soft-topk,0,6.914108466529622,0.0,6.6250652392752105,6.96388181506744,0,500.0,1.0,14.6638765335083
Soft-topk,1,6.572550791786452,0.0,6.728274520648389,7.2111139168539395,0,500.0,1.0,14.09069299697876
Soft-topk,2,6.999394621895121,0.0,8.07145081646326,8.573409910966804,0,500.0,1.0,15.00698733329773
Soft-topk,3,7.028579624718018,0.0,6.818898536266819,6.322724297171798,0,500.0,1.0,14.387900114059448
Soft-topk,4,6.888649540071771,0.0,7.338638643602415,8.346976350777739,0,500.0,1.0,14.790745496749878
Soft-topk,5,7.211555634875479,0.0,7.858252736417296,8.51383128513749,0,500.0,1.0,14.510471105575562
Soft-topk,6,7.601701871036809,0.0,8.604560019378876,9.64194938442826,0,500.0,1.0,14.4596426486969
Soft-topk,7,7.2641258701299,0.0,8.692942581972732,9.035437924787544,0,500.0,1.0,14.489084243774414
Soft-topk,8,7.276526242984452,0.0,9.574977347130044,10.96343598956754,0,500.0,1.0,14.450811386108398
Soft-topk,9,6.890386379791238,0.0,7.57519282018167,7.985575491821859,0,500.0,1.0,14.104700088500977
