arm,N,seed,topk_k,n_experts,stream_ppl,forgetting_ppl,forgetting_ppl_med,runtime_s
B-softmax-sgd,128,0,0.0,1.0,8.752514555332136,8.404154013506803,9.671229516352803,12.34322738647461
B-softmax-sgd,128,1,0.0,1.0,8.47493320102483,8.859163714933507,10.468357618018894,12.392245292663574
B-softmax-sgd,128,2,0.0,1.0,8.592802646699006,8.881384997785005,9.806551992705387,12.165095329284668
B-softmax-sgd,128,3,0.0,1.0,8.76620100525086,8.902327074634005,9.957046800061484,3.4202187061309814
B-softmax-sgd,128,4,0.0,1.0,8.576693523192654,8.691387152160836,10.117423191948324,3.4206793308258057
B-softmax-sgd,256,0,0.0,1.0,7.904431012496104,9.079892432838156,11.124183979038062,4.010281324386597
B-softmax-sgd,256,1,0.0,1.0,7.704213071981395,9.71771846917897,12.184168371029935,3.951509475708008
B-softmax-sgd,256,2,0.0,1.0,7.769516557132282,9.772779689744265,11.58742043273042,3.924445152282715
B-softmax-sgd,256,3,0.0,1.0,7.983874488805537,9.824832057914966,11.659923245484356,3.959364414215088
B-softmax-sgd,256,4,0.0,1.0,7.838303665564151,9.55614258133111,11.828491560048466,4.3442301750183105
B-softmax-sgd,512,0,0,1,7.312642381276797,10.4615961785001,13.587569762885446,3.2625014781951904
B-softmax-sgd,512,1,0,1,7.127533442087321,11.172163852092659,14.759053653757949,3.2625885009765625
B-softmax-sgd,512,2,0,1,7.183149605221928,11.38333507766391,14.452936320153787,4.170485734939575
B-softmax-sgd,512,3,0,1,7.383115170518711,11.365916632578312,14.358783084517205,4.156299591064453
B-softmax-sgd,512,4,0,1,7.234386821157103,11.080481538311636,14.47236388550964,5.422990322113037
Gate-C-topk-softmax,128,0,32.0,1.0,7.027171972921536,8.031876433708527,8.78624132733153,10.28641653060913
Gate-C-topk-softmax,128,1,32.0,1.0,6.697460716376093,7.873640222844666,8.414678706762203,10.245597839355469
Gate-C-topk-softmax,128,2,32.0,1.0,7.065744747131393,9.930753405469762,11.201701179690552,10.343732833862305
Gate-C-topk-softmax,128,3,32.0,1.0,7.070544084507493,7.778197996866552,7.722785750543266,10.614186525344849
Gate-C-topk-softmax,128,4,32.0,1.0,6.939523544998787,8.906029088930723,10.592534325152759,10.63034725189209
Gate-C-topk-softmax,256,0,64.0,1.0,7.501754143662172,13.550967343018812,16.779327026319223,22.99864673614502
Gate-C-topk-softmax,256,1,64.0,1.0,6.866706024846364,10.161287819948967,12.238120372022264,24.374915838241577
Gate-C-topk-softmax,256,2,64.0,1.0,7.126922507055992,11.667095074027312,12.78849200105253,24.28042435646057
Gate-C-topk-softmax,256,3,64.0,1.0,7.3455193883465375,12.106932573301757,13.134142972681797,24.252904653549194
Gate-C-topk-softmax,256,4,64.0,1.0,7.031989553105396,13.193667649466766,16.16328396009737,23.239541053771973
Gate-C-topk-softmax,512,0,128,1,8.961038462023819,29.022571293575407,38.43718518259251,75.97938394546509
Gate-C-topk-softmax,512,1,128,1,9.06223862677876,30.414548110801,39.480918144651866,77.13201689720154
Gate-C-topk-softmax,512,2,128,1,9.459394395356167,34.434357275661384,31.168617178610738,76.44547057151794
Gate-C-topk-softmax,512,3,128,1,8.965939740065236,18.176354964197856,19.81156990875943,77.09906125068665
Gate-C-topk-softmax,512,4,128,1,9.328371915235905,24.439926884082396,23.285817404979383,71.32587766647339
Soft-topk,128,0,32.0,2.0,6.914108466529622,6.6250652392752105,6.96388181506744,17.274593830108643
Soft-topk,128,1,32.0,2.0,6.572550791786452,6.728274520648389,7.2111139168539395,16.226367473602295
Soft-topk,128,2,32.0,2.0,6.999394621895121,8.07145081646326,8.573409910966804,16.354580640792847
Soft-topk,128,3,32.0,2.0,7.028579624718018,6.818898536266819,6.322724297171798,16.383232593536377
Soft-topk,128,4,32.0,2.0,6.888649540071771,7.338638643602415,8.346976350777739,16.69871425628662
Soft-topk,256,0,64.0,2.0,8.039970499784934,10.99073930842503,12.415785206984566,30.128688097000122
Soft-topk,256,1,64.0,2.0,7.055567559508946,8.544061861920444,10.069123286269205,31.011380910873413
Soft-topk,256,2,64.0,2.0,7.409975191512801,9.70740137179323,10.010179963433496,31.226470470428467
Soft-topk,256,3,64.0,2.0,7.809313802079794,9.88906477837657,9.580922423938915,28.72420358657837
Soft-topk,256,4,64.0,2.0,7.593939790707082,10.443099004152373,11.822382000957253,26.26338219642639
Soft-topk,512,0,128,2,12.523023309298662,30.791354506460145,36.81039240571508,82.78447961807251
Soft-topk,512,1,128,2,14.937358053922383,34.0167759461756,29.4541716643568,80.56117224693298
Soft-topk,512,2,128,2,20.958445305631336,87.58505393482696,44.81118079783597,81.61244511604309
Soft-topk,512,3,128,2,15.833165039313066,31.228523666346007,19.695846503363512,84.1787474155426
Soft-topk,512,4,128,2,17.580036349458002,66.66317110530886,43.47529260669723,76.1272542476654
