task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,seg1_acc,seg2_acc,seg3_acc,seg4_acc,n_snaps
alternating2d,random_graph_k25,rls_single,8,256,40000,11.837826490402222,0.8586178739227659,1.0,0.9,0.9,0.8,-1
alternating2d,random_graph_k25,rls_single,9,256,40000,9.833913803100586,0.833262983342127,0.9,0.9,0.9,0.725,-1
alternating2d,random_graph_k25,rls_single,6,256,40000,13.343132257461548,0.8459812567523429,1.0,0.825,0.9,0.79,-1
alternating2d,random_graph_k25,rls_single,7,256,40000,9.900270700454712,0.831258008592749,0.9,0.855,0.805,0.8,-1
alternating2d,random_graph_k25,rls_single,2,256,40000,14.18228030204773,0.8320092459988443,0.9,0.9,0.9,0.73,-1
alternating2d,random_graph_k25,rls_single,3,256,40000,10.943068504333496,0.8201527599809051,0.9,0.8,0.87,0.72,-1
alternating2d,random_graph_k25,rls_single,4,256,40000,13.70740032196045,0.8435164945604382,0.915,0.9,0.9,0.7,-1
alternating2d,random_graph_k25,rls_single,5,256,40000,11.382457256317139,0.8383143639607045,1.0,0.845,0.9,0.7,-1
alternating2d,random_graph_k25,rls_single,0,256,40000,13.946768760681152,0.833389864576267,1.0,0.805,0.9,0.71,-1
alternating2d,random_graph_k25,rls_single,1,256,40000,11.307256698608398,0.8397452325318461,1.0,0.895,0.9,0.7,-1
alternating2d,random_graph_k25,pop_mem,0,256,40000,14.163716554641724,0.8883658702042664,1.0,0.9,0.9,0.9,64
alternating2d,random_graph_k25,pop_mem,1,256,40000,11.898249626159668,0.889143488857064,1.0,0.9,0.9,0.845,72
alternating2d,random_graph_k25,pop_mem,4,256,40000,14.033156394958496,0.909420617572423,1.0,0.9,1.0,0.9,64
alternating2d,random_graph_k25,pop_mem,5,256,40000,11.897201538085938,0.9001218562347679,1.0,0.9,0.9,0.9,66
alternating2d,random_graph_k25,pop_mem,2,256,40000,14.034227132797241,0.8742192407225949,0.93,0.9,0.9,0.87,64
alternating2d,random_graph_k25,pop_mem,3,256,40000,11.916578769683838,0.8749252531343434,1.0,0.9,0.9,0.9,63
alternating2d,random_graph_k25,pop_mem,6,256,40000,10.603020906448364,0.8977387502826563,1.0,0.9,0.9,0.9,66
alternating2d,random_graph_k25,pop_mem,7,256,40000,15.189951181411743,0.8674380040702495,1.0,0.885,0.9,0.9,63
alternating2d,random_graph_k25,pop_mem,8,256,40000,12.351744651794434,0.8988178688977665,1.0,0.9,0.9,0.9,71
alternating2d,random_graph_k25,pop_mem,9,256,40000,15.571760416030884,0.8799954775005653,1.0,0.9,0.93,0.845,63
alternating2d,random_graph_k25,pop_plain,2,256,40000,45.86526894569397,0.8345481269314843,0.9,0.9,0.9,0.73,-1
alternating2d,random_graph_k25,pop_plain,3,256,40000,39.48294234275818,0.82128464108942,0.93,0.8,0.87,0.72,-1
alternating2d,random_graph_k25,pop_plain,0,256,40000,45.81645584106445,0.834397376950328,1.0,0.825,0.9,0.71,-1
alternating2d,random_graph_k25,pop_plain,1,256,40000,39.814892292022705,0.840750232406221,1.0,0.895,0.9,0.7,-1
alternating2d,random_graph_k25,pop_plain,4,256,40000,45.960906982421875,0.8435164945604382,0.915,0.9,0.9,0.7,-1
alternating2d,random_graph_k25,pop_plain,5,256,40000,39.938403606414795,0.838816863897892,1.0,0.845,0.9,0.7,-1
alternating2d,random_graph_k25,pop_plain,6,256,40000,45.477763414382935,0.8476156377980452,1.0,0.825,0.9,0.79,-1
alternating2d,random_graph_k25,pop_plain,7,256,40000,39.52044415473938,0.8323898897012637,0.945,0.855,0.805,0.8,-1
alternating2d,random_graph_k25,pop_plain,8,256,40000,45.6484580039978,0.8596492550438432,1.0,0.9,0.9,0.8,-1
alternating2d,random_graph_k25,pop_plain,9,256,40000,39.4259512424469,0.8344212456973443,0.91,0.9,0.9,0.725,-1
